"title","url","slug","description","headline","headlinedescription","price","brand_name","isdiscounted","offer","isactive","availableforsale","first_image_url"
"Firstdraft Note – AI-Powered Notebook for Creators & Freelancers","https://www.everythingboho.in/products/frida-retro-sketchbook","frida-retro-sketchbook","<div>
  <p><strong>KEY HIGHLIGHTS</strong></p>
  <ul>
    <li><strong>Paper Quality:</strong> 140 GSM acid-free drawing sheets that keep sketches vibrant and smudge-free.</li>
    <li><strong>Sturdy Cover:</strong> Durable 300 GSM outer cover for protection and everyday use.</li>
    <li><strong>Sheet Count:</strong> 30 premium sheets — perfect for sketching, doodling, and mixed-media experiments.</li>
    <li><strong>Portable Design:</strong> Lightweight and compact — ideal for artists on the go.</li>
    <li><strong>Archival Safe:</strong> Acid-free pages prevent yellowing so artwork stays true over time.</li>
    
    <li><strong>Perfect For:</strong> Students, hobbyists, illustrators, and anyone who loves to draw.</li>
    <li><strong>Care Instructions:</strong> Store flat in a cool, dry place. Avoid exposure to direct sunlight and moisture to preserve paper quality.</li>
  </ul>
</div>","Frida Retro Sketchbook","A premium portable sketchbook with 140 GSM acid-free pages and a sturdy 300 GSM cover - perfect for artists and creatives on the move.","{""code"":""INR"",""amount"":""699"",""symbol"":""₹""}","gifting",False,"{""type"":""PERCENT"",""value"":"""",""symbol"":"""",""code"":""""}",True,True,"https://assets.toastd.in/gifting/frida-retro-sketchbook/images/1.webp"
"Style? Sharp. Utility? Sharper.","https://tokike.com/collections/sleeves-pouches/products/ballardeforest","tokike-ballardeforest","<div class=""""product-description"""">
  <h2>BALLARDE (Forest)</h2>

  <p><strong>Overview:</strong> <strong>Ballarde</strong> blends rooted culture with international sophistication. Raised in a family of merchants, Ballarde embodies business acumen while embracing a traveller’s heart, seeking inspiration from journeys and experiences.</p>

  <p><strong>Key Features:</strong></p>
  <ul>
    <li>Available in 3 Sizes</li>
    <li>Material: Premium quality yarn-dyed canvas with waterproof inside lining</li>
    <li>Multiple pockets: 2 outside pockets, 1 zipped back pocket, 2 inside net pockets</li>
    <li>Premium quality metal zippers</li>
    <li>Detachable shoulder strap for versatile carrying</li>
    <li>Handcrafted, designed, and made in India</li>
  </ul>

  <p><strong>Perfect For:</strong> Travelers, professionals, and style-conscious individuals seeking a versatile, sophisticated, and durable bag for everyday use or adventures.</p>
</div>","BALLARDE (Forest)","Ballarde is a combination of two things - rooted culture and international sophistication.","{""code"":""INR"",""amount"":""1990"",""symbol"":""₹""}","Tokike",True,"{""type"":""PERCENT"",""value"":""15"",""symbol"":""%"",""code"":""Toastd15""}",True,True,"https://assets.toastd.in/tokike/tokike-ballardeforest/images/tokike_ball_1.webp"
"Tea that Boosts your Testosterone","https://chit-chat-chai.myshopify.com/products/focus-with-ashwagandha-mint-herbal-tea","chit-chat-chai-ashwagandha-mint-herbal-tea","<div class=""""product-description"""">
  <h2>Ashwagandha Mint Herbal Tea - Focus</h2>

  <p><strong>Overview:</strong> A storm in a teacup has never been this pleasant. This power-packed combination of <strong>Ashwagandha, mint, lemongrass, and lemon peel</strong> helps you focus better, calm your senses, and go the extra mile.</p>

  <p><strong>Key Benefits:</strong></p>
  <ul>
    <li>Supports focus and mental clarity</li>
    <li>Calms your senses and reduces stress</li>
    <li>Refreshing, soothing taste with minty notes</li>
    <li>Perfect as a daily wellness ritual</li>
  </ul>

  <p><strong>Ingredients:</strong></p>
  <ul>
    <li>Ashwagandha (<em>Withania somnifera</em>)</li>
    <li>Mint (<em>Mentha spicata subsp. spicata</em>)</li>
    <li>Spearmint (<em>Mentha spicata</em>)</li>
    <li>Lemongrass (<em>Cymbopogon</em>)</li>
    <li>Lemon Peel (<em>Citrus limon</em>)</li>
  </ul>

  <p><strong>How to Brew:</strong> Steep 1–2 teaspoons of tea in hot water (80–90°C) for 3–5 minutes. Enjoy it warm for a calming experience, or chilled for a refreshing twist.</p>

  <p><strong>Perfect For:</strong> Students, professionals, and anyone seeking better focus with a refreshing herbal boost.</p>
</div>","Ashwagandha Mint Herbal Tea - Focus","1 sachet for hot brew and 2 - 4 sachets for cold brew And then Sip On Happiness!","{""code"":""INR"",""amount"":""399"",""symbol"":""₹""}","Chit Chat Chai",True,"{""type"":""PERCENT"",""value"":""10"",""symbol"":""%"",""code"":""TOASTD10""}",True,True,"https://assets.toastd.in/chit-chat-chai/chit-chat-chai-ashwagandha-mint-herbal-tea/images/chit_chat_chai_tea_1.webp"
"Drop shots, not standards","https://serveclub.co/products/serve-pro-pickleball-paddle","serve-club-pro-pickleball-paddle","<div class=""""product-description"""">
  <h2>Serve Pro Pickleball Paddle</h2>

  <p><strong>Elevate Your Game with the Ultimate Carbon Fiber Paddle:</strong> Crafted with precision and built for peak performance, the <strong>T700 Carbon Fiber Pickleball Paddle</strong> is a game-changer for players of all skill levels. Proudly made in India.</p>

  <p><strong>Key Features:</strong></p>
  <ul>
    <li><strong>Premium T700 Carbon Fiber:</strong> The high-performance T700 carbon fiber face delivers exceptional durability, power, and control—giving you the confidence to dominate every rally.</li>
    <li><strong>16mm Core Thickness:</strong> A carefully engineered 16mm core provides the perfect balance between control and power, ideal for both aggressive drives and soft, strategic shots.</li>
    <li><strong>Lightweight Design, Effortless Performance:</strong> Built for speed and stability, this paddle helps you stay fast at the net and solid during high-paced exchanges.</li>
    <li><strong>Enhanced Sweet Spot:</strong> Advanced construction ensures a larger sweet spot, allowing for more accurate, consistent shots—even on off-center hits.</li>
    <li><strong>Versatile for All Playing Styles:</strong> Whether you're a power player or prefer precision and finesse, this paddle adapts to your game. It performs equally well in aggressive attacks and defensive placements.</li>
    <li><strong>Competitive-Level Control and Power:</strong> The balanced design empowers you to shape your shots with precision while delivering the power needed to stay in control across the entire court.</li>
  </ul>

  <p><strong>Perfect For:</strong> Pickleball players of all levels seeking a high-performance, durable, and versatile paddle to enhance their game on the court.</p>
</div>","Serve Pro Pickleball Paddle","Crafted with precision and designed for peak performance, our T700 Carbon Fiber Pickleball Paddle is a game-changer for players of all skill levels. Proudly made in India.

","{""code"":""INR"",""amount"":""7999"",""symbol"":""₹""}","Serve Club",True,"{""type"":""PERCENT"",""value"":""15"",""symbol"":""%"",""code"":""Toastd15""}",True,True,"https://assets.toastd.in/serve-club/serve-club-pickleball-paddle/images/serve_pro_1.webp"
"Two Sides. One Perfect Workspace.","https://numin.store/products/loop-dual-side-mouse-pad-in-vegan-leather","numinstore-loop-dual-side-mouse-pad-in-vegan-leather","<div>
  <h2 class=""product-heading"">The Mouse Pad That Works Both Sides of Your Style</h2>
  <p class=""product-intro"">Meet the <strong>Loop Dual-Side Mouse Pad</strong> – a premium, capsule-shaped desk essential crafted in ultra-soft vegan leather. Flip it for a different mood, enjoy ergonomic comfort, and elevate your workspace aesthetics all in one move.</p>
  <h3 class=""product-subheading"">Product Features:</h3>
  <ul class=""product-features"">
    <li>🔄 <strong>Reversible Design:</strong> Warm Tan on one side, Calming Blue on the other</li>
    <li>🌱 <strong>Material:</strong> Ultra-soft, padded vegan leather</li>
    <li>💧 <strong>Water-Resistant:</strong> Resists spills, wipes clean easily</li>
    <li>🧵 <strong>Stitched Edges:</strong> Reinforced for long-term durability</li>
    <li>🖱️ <strong>Smooth & Cushioned Surface:</strong> Ensures effortless tracking and comfort</li>
    <li>💼 <strong>Versatile Use:</strong> Perfect for work setups or gaming sessions</li>
    <li>📏 <strong>Dimensions:</strong> 12 x 9 inches (30.5 x 23 cm)</li>
  </ul>
  <p class=""product-closing"">Designed for performance. Styled for modern desks. The <strong>Loop Dual-Side Mouse Pad</strong> is the smart, sleek upgrade your workspace has been waiting for.</p>
</div>","Loop Dual-Side Mouse Pad in Vegan Leather","Upgrade your desk setup with this premium 12 x 9-inch capsule-shaped mousepad, made from ultra-soft, padded vegan leather.","{""code"":""INR"",""amount"":""749"",""symbol"":""₹""}","Numin Store",True,"{""type"":""PERCENT"",""value"":""15"",""symbol"":""%"",""code"":""Toastd15""}",True,True,"https://assets.toastd.in/numinstore/numinstore-loop-dual-side-mouse-pad-in-vegan-leather/images/numin_dual_1.webp"
"FORGE | Golden Precision - Olive Wood & Stainless Steel Skeleton Watch","https://samyakwatches.com/","samyak-forge-golden-precision","<div>
  <h2>FORGE | Golden Precision</h2>

  <p><strong>Forge blends olive wood, black accents, and a radiant gold skeleton dial. Its open design showcases every gear in motion — a refined display of strength, precision, and style.</strong></p>

  <p>The FORGE Golden Precision combines natural olive wood with stainless steel for durability and elegance. Its skeleton dial reveals the quality mechanical movement inside, making every detail visible. With black accents and a bold design, this watch embodies both luxury and resilience. Its 3 ATM water resistance ensures everyday practicality.</p>

  <ul>
    <li><strong>Model:</strong> GT102-2</li>
    <li><strong>Material:</strong> Hardlex Chacate Preto + Olive Wood + Stainless Steel</li>
    <li><strong>Movement:</strong> Quality Mechanical Movement</li>
    <li><strong>Water Resistance:</strong> 3 ATM (Daily Life Waterproof)</li>
    <li><strong>Case Thickness:</strong> 14.7 mm</li>
    <li><strong>Case Diameter:</strong> 45 mm</li>
    <li><strong>Perimeter:</strong> 220 mm</li>
    <li><strong>Band Width:</strong> 22–24 mm</li>
  </ul>

  <p><strong>Care Instructions:</strong> Wipe regularly with a soft cloth. Avoid extended exposure to water and extreme temperatures. Store in a cool, dry place when not in use.</p>
</div>","FORGE | Golden Precision","Forge showcases olive wood, black accents, and a radiant gold skeleton dial — a refined expression of strength, precision, and style.","{""code"":""INR"",""amount"":""20000"",""symbol"":""₹""}","Samyak",False,"{""type"":""PERCENT"",""value"":"""",""symbol"":"""",""code"":""""}",True,True,"https://assets.toastd.in/samyak/samyak-forge-golden-precision/images/1.webp"
"Pin Your Dreams. See Your Goals. Style Your Space.","https://www.bowhomes.in/products/moodpeg-magnetic-peg-board","bow-homes-moodpeg-magnetic-peg-board","<div>
  <p><strong>MoodPeg - All-in-One Magnetic Moodboard Kit</strong></p>
  
  <ul>
    <li><strong>Magnetic + Pegboard Surface:</strong> Ideal for planning, pinning, or inspiration</li>
    <li><strong>Detachable Mirror:</strong> Perfect for vanity use</li>
    <li><strong>Mini Utility Box:</strong> Store pens, brushes, or skincare essentials</li>
    <li><strong>Hooks Included:</strong> Hang keys, jewelry, or accessories</li>
    <li><strong>Built-in Shelf:</strong> Great for displaying perfumes, candles, or daily must-haves</li>
    <li><strong>Flexible Placement:</strong> Mount it or lean it anywhere</li>
    <li><strong>Compact & Aesthetic:</strong> Designed to enhance any desk, vanity, or creative space</li>
  </ul>

  <p><strong>Specifications:</strong></p>
  <ul>
    <li><strong>Material:</strong> Metal</li>
    <li><strong>Dimensions:</strong> 60 x 40 x 11 cm</li>
    <li><strong>Weight:</strong> 2.5 kg</li>
    <li><strong>Origin:</strong> Handmade in India</li>
  </ul>
</div>","MoodPeg - All-in-One Magnetic Moodboard Kit","MoodPeg is more than a whiteboard – it’s your personalised productivity + vanity + inspiration zone, all rolled into one compact, aesthetic piece","{""code"":""INR"",""amount"":""2850"",""symbol"":""₹""}","Bow Homes",False,"{""type"":""PERCENT"",""value"":"""",""symbol"":"""",""code"":""""}",True,True,"https://assets.toastd.in/bow-homes/bow-homes-moodpeg-magnetic-peg-board/images/bow_mood_1.webp"
"Berry Bold. Breakfast Better.","https://goatlife.co.in/products/strawberry-swirl","goat-life-strawberry-swirl","<div>
  <h2>GOAT Life – Strawberry Swirl (PACK OF 7)</h2>
  
  <p><strong>Flavour:</strong> Strawberry</p>
  <p><strong>Net Weight:</strong> 75g</p>
  <p><strong>Serving Size:</strong> 1 (75g)</p>

  <p>
    A sweet swirl of berry-powered fuel. <br>
    <strong>Strawberry Swirl</strong> is made with real strawberry and <strong>17g protein</strong> 
    for a fruity, filling breakfast that’s as refreshing as it is nourishing.
  </p>

  <h3>Why You'll Love It:</h3>
  <ul>
    <li><strong>17g Protein</strong> – Fuels your day, guilt-free</li>
    <li><strong>Instant Oats</strong> – Keeps you full and energized</li>
    <li><strong>Real Strawberry</strong> – Sweet, fruity flavor</li>
    <li><strong>Prebiotics & Fiber</strong> – Supports digestion</li>
    <li><strong>No Added Sugar or Preservatives</strong></li>
  </ul>
</div>","Strawberry Swirl (PACK OF 7)","Strawberry Swirl is made with real strawberry and 17g protein for a fruity, filling breakfast that’s as refreshing as it is nourishing.","{""code"":""INR"",""amount"":""419"",""symbol"":""₹""}","Goat Life",True,"{""type"":""PERCENT"",""value"":""10"",""symbol"":""%"",""code"":""toasted10""}",True,True,"https://assets.toastd.in/goat-life/goat-life-strawberry-swirl/images/goat_berry_1.webp"
"Built for Every Terrain. Ready for Every Journey.","https://carrypro.in/products/hobo40-functional-travel-backpack-grey-black","carry-pro-hobo40-functional-travel-backpack-grey-black","<div>
  <h2>Carrypro HOBO40 Functional Travel Backpack (40L)</h2>

  <p><strong>Meet the backpack built for both city commutes and outdoor adventures.</strong></p>

  <p><strong>Capacity:</strong> 40L – Ideal for short trips, daily carry, or weekend escapes.</p>

  <p><strong>Quick Access & Smart Organization:</strong></p>
  <ul>
    <li>Front zipper opens to access bottom-packed items instantly.</li>
    <li>Side laptop access makes airport checks hassle-free.</li>
    <li>Multiple compartments for tech gear, documents, and daily essentials.</li>
  </ul>

  <p><strong>Weather-Ready Design:</strong></p>
  <ul>
    <li>Crafted with water-repellent 1000D PU-coated fabric.</li>
    <li>Built-in rain cover stored at the bottom for wet conditions.</li>
  </ul>

  <p><strong>Comfort & Support:</strong></p>
  <ul>
    <li>3D breathable sponge-padded back panel for reduced strain.</li>
    <li>Ergonomic shoulder straps designed for long carry comfort.</li>
  </ul>

  <p><strong>Tech-Friendly:</strong></p>
  <ul>
    <li>Padded compartment fits up to 16” laptop.</li>
    <li>Additional sleeve for documents and quick-access front pocket for small items.</li>
  </ul>

  <p><strong>Thoughtful Features:</strong></p>
  <ul>
    <li>Metro card slot and hidden back pocket for valuables.</li>
    <li>Side mesh and zip pockets for bottles, umbrellas, or wet items.</li>
  </ul>

  <p><strong>Travel-Ready Essentials:</strong></p>
  <ul>
    <li>Approved as carry-on by most airlines.</li>
    <li>Includes detachable waist pouch and built-in rain cover.</li>
  </ul>

  <p><strong>Specifications:</strong> 48cm (L) × 29cm (W) × 17cm (D) | Weight: 1300g</p>
  <p><strong>Care:</strong> Hand wash only in lukewarm water with mild detergent. Avoid machine wash.</p>
</div>","HOBO40 Functional Travel Backpack (40L)","A backpack that could move through worlds, from city to mountain and beyond.  One of our favorite all-rounders of all time. Durable and refined in materials. And ultra-versatile in use. It’ll serve you well.","{""code"":""INR"",""amount"":""2999"",""symbol"":""₹""}","Carry Pro",False,"{""type"":""PERCENT"",""value"":"""",""symbol"":"""",""code"":""""}",True,True,"https://assets.toastd.in/carry-pro/carry-pro-hobo40-functional-travel-backpack-grey-black/images/carry_hobo_1.webp"
"Modern Tokio Table Lamp – Japandi Minimalist Lighting","https://unit01labs.com/products/the-tokio-table-lamp","unit01labs-the-tokio-table-lamp","<div><h2 class=""product-heading"">Modern Tokio Table Lamp</h2><p class=""product-intro"">The Modern Tokio Table Lamp blends Japanese and Scandinavian design into a serene, minimalist piece. Offering soft ambient light, it’s perfect for bedside tables, desks, or cozy reading nooks, adding both function and timeless style to any space.</p><h3 class=""product-subheading"">Highlights:</h3><ul class=""product-features""><li>Japandi Design: A harmonious mix of Japanese and Scandinavian aesthetics.</li><li>Soft Illumination: Provides warm, calming light for any setting.</li><li>Minimalist Style: Complements modern, classic, or eclectic interiors.</li><li>Versatile Use: Ideal for bedrooms, workspaces, or reading corners.</li><li>Made to Order: Carefully crafted with a 1–2 week lead time.</li></ul><h3 class=""product-subheading"">Dimensions:</h3><ul class=""product-target""><li>8 in x 8 in x 8 in</li></ul><p class=""product-closing"">A refined blend of art and function, the Modern Tokio Table Lamp brings elegance and serenity to your everyday spaces.</p></div>","The Tokio table lamp","A Japandi-inspired table lamp that blends Japanese and Scandinavian design, offering soft ambient light and timeless elegance for any space.","{""code"":""INR"",""amount"":""2478"",""symbol"":""₹""}","Unit 01 Labs",True,"{""type"":""PERCENT"",""value"":""10"",""symbol"":""%"",""code"":""TOASTD10""}",True,True,"https://assets.toastd.in/unit01labs/unit01labs-the-tokio-table-lamp/images/IMG_1298.webp"
